,count,mean,std,min,25%,50%,75%,max
political_violence_events_preagg,9600.0,57.56604166666666,291.8484230640304,0.0,1.0,4.0,17.0,5260.0
cpi_index,9600.0,260.7778353015906,794.54011046712,15.58990677684833,74.35105798346187,106.8027189535192,144.5159782392452,7694.0
cpi_mom_pct,9600.0,0.6440212754196202,1.2813726848195308,-6.467417932386088,0.18984731225618606,0.4393673110720364,0.7704486717842962,33.27430831175269
cpi_yoy_pct,9600.0,8.791497382615416,17.154392478229692,-8.18965517241378,3.7586350238815847,5.6793009168403525,8.455617535219568,289.40487960744707
cpi_yoy_acceleration,9600.0,-0.08568590487395289,5.5833695143123485,-121.90593526721196,-0.7013244403991703,-0.0620315666033155,0.6392491320423634,145.24258932993192
fx_rate,9600.0,662.8374650287534,3805.499894277784,0.362588022774879,4.397975,24.8822045,83.57485,89500.0
fx_mom_pct_change,9600.0,0.5867745386884103,10.955148411599271,-34.55633222429108,-0.2384630012342625,0.0,0.8843330383093428,895.0248756218905
fx_yoy_pct_change,9600.0,8.454369302572015,71.48188864896318,-42.07479053849609,-0.22942836445360434,2.0277453568653514,8.354941601066601,5836.98175787728
fx_3m_pct_change,9600.0,1.8246869093508082,19.334641650248752,-39.15925651512574,-0.43921458481952774,0.08402350247785904,2.2587173372362774,895.0248756218905
fx_6m_pct_change,9600.0,3.785867400530451,27.968572393537908,-39.739970146422095,-0.4869798742956427,0.40457673525485793,4.204849585371331,895.0248756218905
fx_volatility_3m,9600.0,1.812165677519234,10.751069399641308,0.0,0.3489821498683121,0.9544747605913118,1.8702944005279765,516.7428528717098
weo_is_annual,9600.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
weo_current_account_gdp,9600.0,-2.09977,5.400264015224106,-30.008,-3.62725,-1.914,-0.16775,16.309
weo_fiscal_balance_gdp,9600.0,-3.1969518750000003,3.5968638837008085,-23.945,-4.66725,-2.914,-1.2475,16.913
weo_gdp_growth,9600.0,3.5951887500000006,3.871935211399816,-28.759,2.30575,3.9875,5.71,14.604
weo_gdp_per_capita_ppp,9600.0,13676.6619425,8291.622810363076,1890.423,8532.78025,12217.083999999999,16653.04475,41666.83
weo_govt_debt_gdp,9600.0,58.2468,33.71129108358875,5.167,38.127750000000006,52.482,70.3695,358.193
weo_inflation,9600.0,8.67665875,16.0527405332544,-3.761,3.7535,5.519,8.74925,221.343
weo_unemployment,9600.0,8.859881875,4.778712771999506,2.2,6.267,7.645,9.428,34.3
edt_debt_service,9600.0,14003045328.001125,23109930612.253777,85783572.2,2219484716.0,4932407061.5,12408347598.75,225292000000.0
edt_debt_service_to_exports,9600.0,20.90088315772875,13.518369844376384,0.676956098,11.96258067,18.726021135,25.46740401,106.6280562
edt_debt_to_gni,9600.0,54.707458520105625,49.784941876175374,6.295897339,29.81596778,41.341885340000005,58.49329352,432.2222899
edt_interest_payments,9600.0,3795848125.0527496,5614496944.094947,35089431.2,766002673.425,1399003149.5,3976976616.75,34851974885.0
edt_long_term_debt,9600.0,80869045820.385,110623440079.40413,1683040441.0,19398136494.0,40196988533.0,86100986005.25,566202000000.0
edt_ppg_debt,9600.0,45855668164.07637,53977012991.92222,856619441.1,13628357170.5,25584252960.5,53324722171.5,309061000000.0
edt_short_term_debt,9600.0,15817406143.89775,24689620214.223743,36090022.3,2387250245.5,6587535242.5,16955485000.0,178134000000.0
edt_total_external_debt,9600.0,100132463311.06625,134133955693.98785,2220991209.0,25766587018.5,46559652927.5,111318500000.0,716456000000.0
